Year,Labor force status,Race (2003-2021),Gender,Field of maj - most recent deg (major) (2003-2021),Age group (5 year intv),Weighted Count
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 55-59,"4,976"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 60-64,"2,113"
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 65-69,450
2021,Employed,Asian ONLY,Female,Physical and related sciences,Ages 70-75,421
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 24 or younger,"11,974"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 25-29,"47,602"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 30-34,"40,849"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 35-39,"41,967"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 40-44,"22,789"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 45-49,"29,806"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 50-54,"33,056"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 55-59,"19,071"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 60-64,"5,596"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 65-69,"3,956"
2021,Employed,Asian ONLY,Female,Social and related sciences,Ages 70-75,"2,424"
2021,Employed,Asian ONLY,Female,Engineering,Ages 24 or younger,"8,726"
2021,Employed,Asian ONLY,Female,Engineering,Ages 25-29,"36,018"
2021,Employed,Asian ONLY,Female,Engineering,Ages 30-34,"41,411"
2021,Employed,Asian ONLY,Female,Engineering,Ages 35-39,"38,922"
2021,Employed,Asian ONLY,Female,Engineering,Ages 40-44,"23,807"
2021,Employed,Asian ONLY,Female,Engineering,Ages 45-49,"29,798"
2021,Employed,Asian ONLY,Female,Engineering,Ages 50-54,"19,903"
2021,Employed,Asian ONLY,Female,Engineering,Ages 55-59,"10,636"
2021,Employed,Asian ONLY,Female,Engineering,Ages 60-64,"3,006"
2021,Employed,Asian ONLY,Female,Engineering,Ages 65-69,"1,329"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 24 or younger,"18,672"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 25-29,"73,403"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 30-34,"132,405"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 35-39,"80,257"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 40-44,"74,040"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 45-49,"89,318"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 50-54,"49,579"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 55-59,"24,517"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 60-64,"29,425"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 65-69,"20,364"
2021,Employed,Asian ONLY,Female,S&E-Related Fields,Ages 70-75,"5,563"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 24 or younger,"32,365"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 25-29,"122,741"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 30-34,"207,390"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 35-39,"163,359"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 40-44,"201,773"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 45-49,"153,524"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 50-54,"105,012"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 55-59,"98,415"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 60-64,"34,848"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 65-69,"35,415"
2021,Employed,Asian ONLY,Female,Non-S&E Fields,Ages 70-75,"6,848"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 24 or younger,"16,345"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 25-29,"84,468"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 30-34,"92,044"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 35-39,"107,559"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 40-44,"84,128"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 45-49,"59,028"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 50-54,"39,645"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 55-59,"36,672"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 60-64,"17,846"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 65-69,"5,601"
2021,Employed,Asian ONLY,Male,Computer and mathematical sciences,Ages 70-75,"1,488"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 24 or younger,"6,444"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 25-29,"25,611"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 30-34,"26,690"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 35-39,"14,169"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 40-44,"14,931"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 45-49,"16,229"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 50-54,"12,976"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 55-59,"12,225"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 60-64,"9,969"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 65-69,"4,905"
2021,Employed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 70-75,"1,918"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 24 or younger,"3,246"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 25-29,"19,471"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 30-34,"16,075"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 35-39,"14,694"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 40-44,"7,630"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 45-49,"8,924"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 50-54,"7,077"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 55-59,"6,912"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 60-64,"4,980"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 65-69,"4,406"
2021,Employed,Asian ONLY,Male,Physical and related sciences,Ages 70-75,"1,588"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 24 or younger,"7,152"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 25-29,"26,284"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 30-34,"29,643"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 35-39,"22,898"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 40-44,"16,219"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 45-49,"16,283"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 50-54,"18,278"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 55-59,"10,791"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 60-64,"8,911"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 65-69,"2,856"
2021,Employed,Asian ONLY,Male,Social and related sciences,Ages 70-75,"2,039"
2021,Employed,Asian ONLY,Male,Engineering,Ages 24 or younger,"19,795"
2021,Employed,Asian ONLY,Male,Engineering,Ages 25-29,"116,445"
2021,Employed,Asian ONLY,Male,Engineering,Ages 30-34,"118,390"
2021,Employed,Asian ONLY,Male,Engineering,Ages 35-39,"110,060"
2021,Employed,Asian ONLY,Male,Engineering,Ages 40-44,"108,144"
2021,Employed,Asian ONLY,Male,Engineering,Ages 45-49,"92,438"
2021,Employed,Asian ONLY,Male,Engineering,Ages 50-54,"75,172"
2021,Employed,Asian ONLY,Male,Engineering,Ages 55-59,"68,347"
2021,Employed,Asian ONLY,Male,Engineering,Ages 60-64,"40,134"
2021,Employed,Asian ONLY,Male,Engineering,Ages 65-69,"12,979"
2021,Employed,Asian ONLY,Male,Engineering,Ages 70-75,"8,572"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 24 or younger,"1,908"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 25-29,"39,583"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 30-34,"53,035"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 35-39,"62,661"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 40-44,"43,089"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 45-49,"77,373"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 50-54,"62,529"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 55-59,"44,133"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 60-64,"34,127"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 65-69,"25,660"
2021,Employed,Asian ONLY,Male,S&E-Related Fields,Ages 70-75,"1,869"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 24 or younger,"6,142"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 25-29,"57,322"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 30-34,"80,202"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 35-39,"130,885"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 40-44,"66,623"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 45-49,"87,242"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 50-54,"68,911"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 55-59,"65,451"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 60-64,"50,734"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 65-69,"35,133"
2021,Employed,Asian ONLY,Male,Non-S&E Fields,Ages 70-75,"20,048"
2021,Employed,American Indian/Alaska Native ONLY,Female,Computer and mathematical sciences,Ages 35-39,49
2021,Employed,American Indian/Alaska Native ONLY,Female,Computer and mathematical sciences,Ages 40-44,508
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 25-29,894
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 30-34,"1,428"
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 35-39,268
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 40-44,615
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 45-49,100
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 50-54,27
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 55-59,342
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 60-64,357
2021,Employed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 65-69,"1,245"
2021,Employed,American Indian/Alaska Native ONLY,Female,Physical and related sciences,Ages 25-29,62
2021,Employed,American Indian/Alaska Native ONLY,Female,Physical and related sciences,Ages 40-44,44
2021,Employed,American Indian/Alaska Native ONLY,Female,Physical and related sciences,Ages 50-54,263
2021,Employed,American Indian/Alaska Native ONLY,Female,Physical and related sciences,Ages 55-59,"1,063"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 24 or younger,"1,310"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 25-29,"5,348"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 30-34,"1,996"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 35-39,"2,124"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 40-44,"1,308"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 45-49,"1,687"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 50-54,132
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 55-59,"1,812"
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 60-64,430
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 65-69,99
2021,Employed,American Indian/Alaska Native ONLY,Female,Social and related sciences,Ages 70-75,86
2021,Employed,American Indian/Alaska Native ONLY,Female,Engineering,Ages 25-29,561
2021,Employed,American Indian/Alaska Native ONLY,Female,Engineering,Ages 30-34,440
2021,Employed,American Indian/Alaska Native ONLY,Female,Engineering,Ages 35-39,89
2021,Employed,American Indian/Alaska Native ONLY,Female,Engineering,Ages 45-49,996
2021,Employed,American Indian/Alaska Native ONLY,Female,Engineering,Ages 55-59,32
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 25-29,"5,967"
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 30-34,"3,726"
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 35-39,"1,558"
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 40-44,9
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 45-49,"1,552"
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 50-54,"2,721"
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 55-59,474
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 60-64,359
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 65-69,217
2021,Employed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,Ages 70-75,69
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 24 or younger,201
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 25-29,"27,305"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 30-34,"25,382"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 35-39,"2,644"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 40-44,"8,756"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 45-49,"2,604"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 50-54,"1,707"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 55-59,"8,393"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 60-64,"3,123"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 65-69,"4,121"
2021,Employed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,Ages 70-75,246
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 24 or younger,207
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 25-29,806
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 30-34,762
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 35-39,689
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 40-44,445
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 50-54,975
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 60-64,37
2021,Employed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,Ages 70-75,14
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 25-29,305
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 30-34,110
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 35-39,39
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 40-44,43
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 45-49,58
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 50-54,331
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 55-59,"2,729"
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 60-64,384
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 65-69,130
2021,Employed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",Ages 70-75,372
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 25-29,973
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 30-34,733
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 35-39,95
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 40-44,"3,188"
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 45-49,84
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 55-59,94
2021,Employed,American Indian/Alaska Native ONLY,Male,Physical and related sciences,Ages 70-75,869
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 24 or younger,"1,253"
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 25-29,"3,749"
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 30-34,531
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 35-39,862
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 40-44,774
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 45-49,"1,183"
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 50-54,354
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 55-59,"3,889"
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 60-64,"2,375"
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 65-69,28
2021,Employed,American Indian/Alaska Native ONLY,Male,Social and related sciences,Ages 70-75,32
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 24 or younger,456
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 25-29,"1,765"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 30-34,"2,195"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 35-39,"1,548"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 40-44,"1,433"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 45-49,533
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 50-54,"1,611"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 55-59,"1,327"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 60-64,"1,853"
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 65-69,32
2021,Employed,American Indian/Alaska Native ONLY,Male,Engineering,Ages 70-75,586
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 25-29,"2,645"
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 30-34,"2,372"
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 35-39,229
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 40-44,877
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 45-49,813
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 50-54,356
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 55-59,63
2021,Employed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,Ages 65-69,223
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 25-29,"16,249"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 30-34,"9,665"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 35-39,"1,237"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 40-44,"1,486"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 45-49,"5,628"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 50-54,"12,625"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 55-59,"2,064"
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 60-64,804
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 65-69,232
2021,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,Ages 70-75,"4,728"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 24 or younger,"3,433"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 25-29,"4,633"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 30-34,"5,089"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 35-39,"4,003"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 40-44,"12,847"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 45-49,"12,270"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 50-54,"11,661"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 55-59,"12,970"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 60-64,"1,769"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 65-69,"1,769"
2021,Employed,Black ONLY,Female,Computer and mathematical sciences,Ages 70-75,975
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 24 or younger,"9,177"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 25-29,"30,594"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 30-34,"16,032"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 35-39,"12,256"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 40-44,"6,756"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 45-49,"5,192"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 50-54,"6,468"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 55-59,"4,097"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 60-64,"4,115"
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 65-69,941
2021,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences",Ages 70-75,"2,053"
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 24 or younger,716
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 25-29,"3,409"
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 30-34,"1,298"
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 35-39,"3,002"
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 40-44,72
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 45-49,"1,346"
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 50-54,"2,304"
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 55-59,454
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 60-64,117
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 65-69,27
2021,Employed,Black ONLY,Female,Physical and related sciences,Ages 70-75,130
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 24 or younger,"11,656"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 25-29,"48,443"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 30-34,"61,169"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 35-39,"52,149"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 40-44,"39,076"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 45-49,"38,549"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 50-54,"42,965"
2021,Employed,Black ONLY,Female,Social and related sciences,Ages 55-59,"31,364"
