Year,Labor force status,Race (2003-2021),Gender,Field of maj - most recent deg (major) (2003-2021),Weighted Count
2019,Employed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,"72,263"
2019,Employed,Black ONLY,Female,Computer and mathematical sciences,"72,830"
2019,Employed,Black ONLY,Female,"Biological, agricultural and environmental life sciences","81,536"
2019,Employed,Black ONLY,Female,Physical and related sciences,"16,966"
2019,Employed,Black ONLY,Female,Social and related sciences,"338,631"
2019,Employed,Black ONLY,Female,Engineering,"34,731"
2019,Employed,Black ONLY,Female,S&E-Related Fields,"386,513"
2019,Employed,Black ONLY,Female,Non-S&E Fields,"1,560,740"
2019,Employed,Black ONLY,Male,Computer and mathematical sciences,"153,850"
2019,Employed,Black ONLY,Male,"Biological, agricultural and environmental life sciences","61,580"
2019,Employed,Black ONLY,Male,Physical and related sciences,"19,175"
2019,Employed,Black ONLY,Male,Social and related sciences,"191,423"
2019,Employed,Black ONLY,Male,Engineering,"136,069"
2019,Employed,Black ONLY,Male,S&E-Related Fields,"192,778"
2019,Employed,Black ONLY,Male,Non-S&E Fields,"888,714"
2019,Employed,White ONLY,Female,Computer and mathematical sciences,"457,027"
2019,Employed,White ONLY,Female,"Biological, agricultural and environmental life sciences","899,573"
2019,Employed,White ONLY,Female,Physical and related sciences,"202,237"
2019,Employed,White ONLY,Female,Social and related sciences,"2,472,642"
2019,Employed,White ONLY,Female,Engineering,"376,971"
2019,Employed,White ONLY,Female,S&E-Related Fields,"3,567,351"
2019,Employed,White ONLY,Female,Non-S&E Fields,"12,264,014"
2019,Employed,White ONLY,Male,Computer and mathematical sciences,"1,371,701"
2019,Employed,White ONLY,Male,"Biological, agricultural and environmental life sciences","957,745"
2019,Employed,White ONLY,Male,Physical and related sciences,"481,369"
2019,Employed,White ONLY,Male,Social and related sciences,"1,854,774"
2019,Employed,White ONLY,Male,Engineering,"2,158,920"
2019,Employed,White ONLY,Male,S&E-Related Fields,"1,968,929"
2019,Employed,White ONLY,Male,Non-S&E Fields,"10,251,605"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Computer and mathematical sciences,494
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,"Biological, agricultural and environmental life sciences","4,183"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Physical and related sciences,313
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Social and related sciences,"11,144"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Engineering,"1,347"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,S&E-Related Fields,"32,742"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Female,Non-S&E Fields,"33,503"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Computer and mathematical sciences,"13,760"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,"Biological, agricultural and environmental life sciences","2,482"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Physical and related sciences,734
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Social and related sciences,"8,673"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Engineering,"14,433"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,S&E-Related Fields,"25,446"
2019,Employed,Native Hawaiian/Other Pacific Islander ONLY,Male,Non-S&E Fields,"46,206"
2019,Employed,Multiple Race,Female,Computer and mathematical sciences,"16,352"
2019,Employed,Multiple Race,Female,"Biological, agricultural and environmental life sciences","43,037"
2019,Employed,Multiple Race,Female,Physical and related sciences,"9,192"
2019,Employed,Multiple Race,Female,Social and related sciences,"116,672"
2019,Employed,Multiple Race,Female,Engineering,"13,312"
2019,Employed,Multiple Race,Female,S&E-Related Fields,"128,592"
2019,Employed,Multiple Race,Female,Non-S&E Fields,"550,181"
2019,Employed,Multiple Race,Male,Computer and mathematical sciences,"56,397"
2019,Employed,Multiple Race,Male,"Biological, agricultural and environmental life sciences","27,460"
2019,Employed,Multiple Race,Male,Physical and related sciences,"13,266"
2019,Employed,Multiple Race,Male,Social and related sciences,"65,061"
2019,Employed,Multiple Race,Male,Engineering,"72,431"
2019,Employed,Multiple Race,Male,S&E-Related Fields,"73,953"
2019,Employed,Multiple Race,Male,Non-S&E Fields,"304,396"
2019,Unemployed,Asian ONLY,Female,Computer and mathematical sciences,"17,054"
2019,Unemployed,Asian ONLY,Female,"Biological, agricultural and environmental life sciences","9,122"
2019,Unemployed,Asian ONLY,Female,Physical and related sciences,"1,511"
2019,Unemployed,Asian ONLY,Female,Social and related sciences,"7,002"
2019,Unemployed,Asian ONLY,Female,Engineering,"8,059"
2019,Unemployed,Asian ONLY,Female,S&E-Related Fields,"14,336"
2019,Unemployed,Asian ONLY,Female,Non-S&E Fields,"43,518"
2019,Unemployed,Asian ONLY,Male,Computer and mathematical sciences,"10,996"
2019,Unemployed,Asian ONLY,Male,"Biological, agricultural and environmental life sciences","7,502"
2019,Unemployed,Asian ONLY,Male,Physical and related sciences,"1,299"
2019,Unemployed,Asian ONLY,Male,Social and related sciences,"5,760"
2019,Unemployed,Asian ONLY,Male,Engineering,"22,044"
2019,Unemployed,Asian ONLY,Male,S&E-Related Fields,"16,000"
2019,Unemployed,Asian ONLY,Male,Non-S&E Fields,"24,305"
2019,Unemployed,American Indian/Alaska Native ONLY,Female,"Biological, agricultural and environmental life sciences",500
2019,Unemployed,American Indian/Alaska Native ONLY,Female,Social and related sciences,"1,430"
2019,Unemployed,American Indian/Alaska Native ONLY,Female,Engineering,28
2019,Unemployed,American Indian/Alaska Native ONLY,Female,S&E-Related Fields,177
2019,Unemployed,American Indian/Alaska Native ONLY,Female,Non-S&E Fields,305
2019,Unemployed,American Indian/Alaska Native ONLY,Male,Computer and mathematical sciences,366
2019,Unemployed,American Indian/Alaska Native ONLY,Male,"Biological, agricultural and environmental life sciences",20
2019,Unemployed,American Indian/Alaska Native ONLY,Male,Engineering,89
2019,Unemployed,American Indian/Alaska Native ONLY,Male,S&E-Related Fields,199
2019,Unemployed,American Indian/Alaska Native ONLY,Male,Non-S&E Fields,"1,054"
2019,Unemployed,Black ONLY,Female,Computer and mathematical sciences,"6,209"
2019,Unemployed,Black ONLY,Female,"Biological, agricultural and environmental life sciences","2,276"
2019,Unemployed,Black ONLY,Female,Physical and related sciences,"4,306"
2019,Unemployed,Black ONLY,Female,Social and related sciences,"24,731"
2019,Unemployed,Black ONLY,Female,Engineering,"1,618"
2019,Unemployed,Black ONLY,Female,S&E-Related Fields,"19,003"
2019,Unemployed,Black ONLY,Female,Non-S&E Fields,"108,233"
2019,Unemployed,Black ONLY,Male,Computer and mathematical sciences,"5,964"
2019,Unemployed,Black ONLY,Male,"Biological, agricultural and environmental life sciences","2,099"
2019,Unemployed,Black ONLY,Male,Physical and related sciences,604
2019,Unemployed,Black ONLY,Male,Social and related sciences,"18,583"
2019,Unemployed,Black ONLY,Male,Engineering,"3,752"
2019,Unemployed,Black ONLY,Male,S&E-Related Fields,"3,449"
2019,Unemployed,Black ONLY,Male,Non-S&E Fields,"37,411"
2019,Unemployed,White ONLY,Female,Computer and mathematical sciences,"19,268"
2019,Unemployed,White ONLY,Female,"Biological, agricultural and environmental life sciences","18,645"
2019,Unemployed,White ONLY,Female,Physical and related sciences,"15,476"
2019,Unemployed,White ONLY,Female,Social and related sciences,"81,209"
2019,Unemployed,White ONLY,Female,Engineering,"5,693"
2019,Unemployed,White ONLY,Female,S&E-Related Fields,"54,424"
2019,Unemployed,White ONLY,Female,Non-S&E Fields,"344,075"
2019,Unemployed,White ONLY,Male,Computer and mathematical sciences,"56,775"
2019,Unemployed,White ONLY,Male,"Biological, agricultural and environmental life sciences","24,614"
2019,Unemployed,White ONLY,Male,Physical and related sciences,"8,110"
2019,Unemployed,White ONLY,Male,Social and related sciences,"60,505"
2019,Unemployed,White ONLY,Male,Engineering,"52,397"
2019,Unemployed,White ONLY,Male,S&E-Related Fields,"39,178"
2019,Unemployed,White ONLY,Male,Non-S&E Fields,"360,707"
2019,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,S&E-Related Fields,895
2019,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Female,Non-S&E Fields,224
2019,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Male,Computer and mathematical sciences,410
2019,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Male,Social and related sciences,492
2019,Unemployed,Native Hawaiian/Other Pacific Islander ONLY,Male,Non-S&E Fields,196
2019,Unemployed,Multiple Race,Female,Computer and mathematical sciences,940
2019,Unemployed,Multiple Race,Female,"Biological, agricultural and environmental life sciences","9,642"
2019,Unemployed,Multiple Race,Female,Physical and related sciences,"3,704"
2019,Unemployed,Multiple Race,Female,Social and related sciences,"7,043"
2019,Unemployed,Multiple Race,Female,Engineering,715
2019,Unemployed,Multiple Race,Female,S&E-Related Fields,740
2019,Unemployed,Multiple Race,Female,Non-S&E Fields,"1,685"
2019,Unemployed,Multiple Race,Male,Computer and mathematical sciences,"1,242"
2019,Unemployed,Multiple Race,Male,"Biological, agricultural and environmental life sciences",241
2019,Unemployed,Multiple Race,Male,Physical and related sciences,"1,573"
2019,Unemployed,Multiple Race,Male,Social and related sciences,"1,359"
2019,Unemployed,Multiple Race,Male,Engineering,686
2019,Unemployed,Multiple Race,Male,S&E-Related Fields,"2,679"
2019,Unemployed,Multiple Race,Male,Non-S&E Fields,"26,894"
